cod_grupo,desc_grupo
1,ABRACADEIRA
2,ACELEROMETRO
3,ACIONADOR
4,ACOPLADOR
5,ACOPLAMENTO
6,ADAPTADOR
7,ALAVANCA
8,ALOJAMENTO
9,ANEL
10,ANILHA
11,AQUECEDOR
12,ARRUELA
13,ASSENTO
14,ATUADOR
15,AUTOTRANSFORMADOR
16,BARRAMENTO
17,BARREIRA
18,BASE
19,BATERIA
20,BICO
21,BLOCO
22,BOBINA
23,BOCAL
24,BOMBA
25,BORNES
26,BORRACHA
27,BOTOEIRA
28,BRONZE
29,BUCHA
30,BUJAO
31,CABECOTE
32,CABOS
33,CAIXA
34,CALCO
35,CAMPAINHA
36,CANALETA
37,CANTONEIRA
38,CAPACITOR
39,CARREGADOR
40,CARTAO
41,CARTUCHO
42,CELULA
43,CENTRAL
44,CHAPA
45,CHAVES
46,CHUMBADOR
47,CINTA
48,CLP
49,CM
50,CODIFICADOR
51,COMPLEMENTO
52,COMPRESSOR
53,COMUTADOR
54,CONDULETE
55,CONECTOR
56,CONEXAO
57,CONSOLA
58,CONTADOR
59,CONTATORA
60,CONTROLADOR
61,CONVERSOR
62,CORDAO
63,CORPO
64,CORREIA
65,CORRENTE
66,COTOVELO
67,COXIM
68,CP
69,CRUZETA
70,CUNHA
71,CURVA
72,DESSIPADOR
73,DETECTOR
74,DIAFRAGMA
75,DIODO
76,DISCO
77,DISJUNTOR
78,DISPOSITIVO
79,DISTRIBUIDOR
80,DUPLICADOR
81,EIXO
82,ELASTICO
83,ELDRO
84,ELEMEN
85,ELETROCALHA
86,ELETRODO
87,ELETRODUTO
88,ELETRONICA
89,ELETROVALVULA
90,EMBREAGEM
91,EMENDA
92,ENGATE
93,ESCOVA
94,ESFERA
95,ESPACADOR
96,ESPAGUETE
97,ESPELHO
98,EXAUTOR
99,FILTRANTE
100,FIM
101,FIXADOR
102,FLANGE
103,FLUTUANTE
104,FONTE
105,FREIO
106,FUSIVEL
107,GANCHO
108,GARRAS
109,GAXETA
110,GRADE
111,GRAMPO
112,GRAXEIRA
113,GRAXEIRO
114,GRELHA
115,HASTE
116,HELICE
117,HORIMETRO
118,IDENTIFICACAO
119,IHM
120,INDICADORCONTROLADOR
121,INST
122,INTERRUPTOR
123,INTERTRAVAMENTO
124,INVERSOR
125,ISOLADORES
126,JAMPER
127,JANELA
128,JOELHO
129,JOGO
130,JUNTA
131,LAMINAS
132,LAMPADA
133,LEITO
134,LENCOL
135,LENTE
136,LIMITADOR
137,LINGA
138,LUBRIFIL
139,LUMINARIA
140,LUMINFAROL
141,LUVA
142,MAGNETICO
143,MANCAIS
144,MANCAL
145,MANGUEIRAS
146,MANILHA
147,MANOMETRO
148,MANOPLA
149,MANTA
150,MANUTENCAO
151,MAO
152,MATRIZ
153,MEDIDOR
154,MICROPROC
155,MICROVENTILADOR
156,MINI
157,MODELO
158,MODULO
159,MOLAS
160,MONITOR
161,MONTAGEM
162,MOTOBOMBA
163,MOTOR
164,MOTOVENTILADOR
165,NIPLE
166,NIVEL
167,OLHAL
168,OPCIONAL
169,PAINEL
170,PAPELAO
171,PARAFUSO
172,PARTE
173,PASTILHA
174,PATCH
175,PENDULO
176,PERFILADO
177,PERIFERICO
178,PINCEL
179,PINO
180,PLACA
181,PLUGUE
182,POLIAS
183,PONTEIRA
184,PONTO
185,PORCA
186,PORTA
187,POSTE
188,PRENSA
189,PRESSOSTATO
190,PROC
191,PROJETOR
192,PROLONGADOR
193,PROTETOR
194,PS
195,PT
196,PURGADOR
197,QUADRADOR
198,QUADRO
199,RACK
200,RADIADOR
201,RADIO
202,REATOR
203,REBITE
204,REDUTOR
205,REFLETOR
206,REGISTRO
207,REGUA
208,REGULADOR
209,RELE
210,REOSTATO
211,REPARO
212,RESFRIADOR
213,RESISTENCIA
214,RESISTOR
215,RETENTOR
216,RODAS
217,ROLAMENTO
218,ROTOR
219,SAIDA
220,SAPATA
221,SECCIONADORA
222,SEGMENTO
223,SEGUIMENTO
224,SELOS
225,SENSORTEMPERATURA
226,SILICONE
227,SINALEIRO
228,SINALIZADOR
229,SIRENE
230,SM
231,SOLDA
232,SOLENOIDE
233,SONDA
234,SOQUETE
235,SUPORTE
236,SUSPIRO
237,SWITCH
238,TAMPA
239,TANQUE
240,TARUGO
241,TERMORRESISTENCIA
242,TIRANTES
243,TIRISTOR
244,TOMADA
245,TOMADOR
246,TRAFO
247,TRANSDUTOR
248,TRANSFORMADOR
249,TRANSMISSOR
250,TRAVA
251,TRILHO
252,TROCADOR
253,TUBO
254,TUNGSTENIO
255,UNIAO
256,UNIDADE
257,VALVULA
258,VARA
259,VARETA
260,VEDACAO
261,VENTILADOR
262,VISOR
263,Y
